DATE,INDPRO
5/1/2002,89.934
6/1/2002,90.6769
7/1/2002,90.6455
8/1/2002,90.5475
9/1/2002,90.6381
10/1/2002,90.4041
11/1/2002,90.8985
12/1/2002,90.389
1/1/2003,91.1355
2/1/2003,91.2502
3/1/2003,91.0059
4/1/2003,90.4281
5/1/2003,90.4073
6/1/2003,90.5218
7/1/2003,90.9896
8/1/2003,90.7858
9/1/2003,91.3829
10/1/2003,91.5005
11/1/2003,92.1265
12/1/2003,92.1722
1/1/2004,92.327
2/1/2004,92.8873
3/1/2004,92.5325
4/1/2004,92.9096
5/1/2004,93.5838
6/1/2004,92.8621
7/1/2004,93.5511
8/1/2004,93.6328
9/1/2004,93.7418
10/1/2004,94.5671
11/1/2004,94.8
12/1/2004,95.5426
1/1/2005,95.8831
2/1/2005,96.5616
3/1/2005,96.4371
4/1/2005,96.628
5/1/2005,96.7306
6/1/2005,97.1488
7/1/2005,96.8383
8/1/2005,97.1603
9/1/2005,95.2729
10/1/2005,96.4383
11/1/2005,97.4951
12/1/2005,97.9788
1/1/2006,98.1305
2/1/2006,98.1779
3/1/2006,98.3898
4/1/2006,98.6769
5/1/2006,98.7052
6/1/2006,99.0427
7/1/2006,98.9804
8/1/2006,99.4106
9/1/2006,99.2207
10/1/2006,99.1253
11/1/2006,99.0969
12/1/2006,100.1122
1/1/2007,99.7571
2/1/2007,100.7275
3/1/2007,100.9023
4/1/2007,101.5874
5/1/2007,101.6299
6/1/2007,101.6482
7/1/2007,101.4925
8/1/2007,101.6874
9/1/2007,101.9398
10/1/2007,101.6345
11/1/2007,102.2068
12/1/2007,102.2604
1/1/2008,102.14
2/1/2008,101.7671
3/1/2008,101.4355
4/1/2008,100.7424
5/1/2008,100.132
6/1/2008,99.8651
7/1/2008,99.4214
8/1/2008,97.8448
9/1/2008,93.559
10/1/2008,94.4956
11/1/2008,93.2689
12/1/2008,90.628
1/1/2009,88.3811
2/1/2009,87.8412
3/1/2009,86.4794
4/1/2009,85.7883
5/1/2009,84.9516
6/1/2009,84.6928
7/1/2009,85.7044
8/1/2009,86.6617
9/1/2009,87.4033
10/1/2009,87.6035
11/1/2009,87.9559
12/1/2009,88.2468
1/1/2010,89.1911
2/1/2010,89.4972
3/1/2010,90.1419
4/1/2010,90.4591
5/1/2010,91.702
6/1/2010,91.8997
7/1/2010,92.2522
8/1/2010,92.5899
9/1/2010,92.8564
10/1/2010,92.6037
11/1/2010,92.6773
12/1/2010,93.5851
1/1/2011,93.3944
2/1/2011,92.993
3/1/2011,93.982
4/1/2011,93.6525
5/1/2011,93.7775
6/1/2011,94.0467
7/1/2011,94.4931
8/1/2011,95.0969
9/1/2011,95.0281
10/1/2011,95.6924
11/1/2011,95.6913
12/1/2011,96.1938
1/1/2012,96.779
2/1/2012,97.0959
3/1/2012,96.5919
4/1/2012,97.2942
5/1/2012,97.4853
6/1/2012,97.4959
7/1/2012,97.6922
8/1/2012,97.3061
9/1/2012,97.2383
10/1/2012,97.5425
11/1/2012,97.934
12/1/2012,98.1984
1/1/2013,98.2029
2/1/2013,98.6733
3/1/2013,99.0788
4/1/2013,98.9658
5/1/2013,99.0567
6/1/2013,99.2424
7/1/2013,98.9258
8/1/2013,99.5059
9/1/2013,100.0391
10/1/2013,99.9203
11/1/2013,100.1661
12/1/2013,100.3777
1/1/2014,99.999
2/1/2014,100.7583
